"image_id","label"
"train_1a","rice"
"train_4d","rice"
"train_5b","soda"
"train_5d","nuts"
"train_8c","rice"
"train_9a","nuts"
"train_10b","honey"
"train_10d","rice"
"train_13d","honey"
"train_14b","rice"
"train_18a","rice"
"train_19b","soda"
"train_19d","honey"
"train_22b","honey"
"train_22d","fish"
"train_23a","nuts"
"train_23b","fish"
"train_24a","nuts"
"train_26c","soda"
"train_28d","rice"
"train_30d","soda"
"train_33a","honey"
"train_33d","fish"
"train_34c","soda"
"train_35d","rice"
"train_36d","nuts"
"train_37a","honey"
"train_37d","soda"
"train_38c","honey"
"train_40d","rice"
"train_42a","fish"
"train_42b","soda"
"train_43b","rice"
"train_44a","soda"
"train_44b","nuts"
"train_44c","rice"
"train_45b","fish"
"train_48a","nuts"
"train_48c","rice"
"train_49c","rice"
"train_50a","honey"
"train_50c","nuts"
"train_51a","rice"
"train_51c","honey"
"train_52a","rice"
"train_52c","nuts"
"train_55b","honey"
"train_55c","rice"
"train_55d","honey"
"train_57a","nuts"
"train_59a","soda"
"train_59d","honey"
"train_60a","fish"
"train_60b","soda"
"train_60d","soda"
"train_64a","rice"
"train_65a","rice"
"train_67a","soda"
"train_69b","nuts"
"train_70a","rice"
"train_71c","fish"
"train_72d","soda"
"train_73b","fish"
"train_74c","nuts"
"train_83a","soda"
"train_83b","nuts"
"train_83d","rice"
"train_84a","soda"
"train_84b","soda"
"train_84d","soda"
"train_85a","honey"
"train_85d","honey"
"train_86c","soda"
"train_88c","nuts"
"train_90a","honey"
"train_91b","honey"
"train_94d","nuts"
"train_96b","honey"
"train_96d","rice"
"train_97d","fish"
"train_100a","honey"
"train_100b","honey"
"train_101b","honey"
"train_105b","honey"
"train_106a","rice"
"train_107a","rice"
"train_107c","honey"
"train_112b","soda"
"train_112c","soda"
"train_113b","rice"
"train_113d","honey"
"train_114a","honey"
"train_115a","nuts"
"train_118b","fish"
"train_118c","fish"
"train_120c","honey"
"train_121d","honey"
"train_123d","honey"
"train_124c","honey"
"train_126c","soda"
"train_129d","soda"
"train_131c","nuts"
"train_132c","nuts"
"train_133b","nuts"
"train_134b","soda"
"train_134c","fish"
"train_136d","fish"
"train_137b","nuts"
"train_138a","honey"
"train_140a","honey"
"train_140d","honey"
"train_142c","fish"
"train_143b","rice"
"train_146c","nuts"
"train_152c","soda"
"train_155c","nuts"
"train_156a","soda"
"train_157d","honey"
"train_158a","rice"
"train_163b","rice"
"train_164d","fish"
"train_167a","fish"
"train_168c","fish"
"train_170c","soda"
"train_172a","rice"
"train_172d","nuts"
"train_173d","fish"
"train_174a","honey"
"train_174b","nuts"
"train_175d","rice"
"train_176d","nuts"
"train_177a","nuts"
"train_177d","nuts"
"train_178a","honey"
"train_181d","fish"
"train_185c","soda"
"train_187b","rice"
"train_188c","honey"
"train_192a","rice"
"train_194a","fish"
"train_194c","soda"
"train_196a","honey"
"train_196d","nuts"
"train_197c","rice"
"train_199d","soda"
"train_200b","soda"
"train_202b","honey"
"train_203b","nuts"
"train_204d","rice"
"train_207a","soda"
"train_207c","soda"
"train_208c","honey"
"train_213a","rice"
"train_214d","soda"
"train_215a","honey"
"train_218b","fish"
"train_227a","soda"
"train_227c","nuts"
"train_228b","honey"
"train_229c","nuts"
"train_229d","nuts"
"train_230a","honey"
"train_232b","nuts"
"train_233a","honey"
"train_233d","rice"
"train_234a","honey"
"train_234b","fish"
"train_234d","fish"
"train_236b","rice"
"train_236c","honey"
"train_239c","soda"
"train_239d","rice"
"train_240a","rice"
"train_241c","honey"
"train_244c","nuts"
"train_244d","soda"
"train_246d","soda"
"train_248c","fish"
"train_249d","rice"
"train_253a","fish"
"train_253b","honey"
"train_255a","soda"
"train_259b","nuts"
"train_260a","honey"
"train_263c","fish"
"train_263d","nuts"
"train_267c","nuts"
"train_275d","fish"
"train_278a","soda"
"train_278c","soda"
"train_281b","honey"
"train_282d","honey"
"train_283b","soda"
"train_283d","honey"
"train_287b","soda"
"train_289d","rice"
"train_294a","nuts"
"train_294c","soda"
"train_294d","soda"
"train_296b","rice"
"train_296c","honey"
"train_298c","nuts"
"train_300a","nuts"
"train_301a","honey"
"train_301c","nuts"
"train_301d","fish"
"train_302a","fish"
"train_305d","soda"
"train_306b","rice"
"train_307b","soda"
"train_308d","rice"
"train_314c","nuts"
"train_315a","honey"
"train_318c","soda"
"train_320a","honey"
"train_320c","fish"
"train_320d","rice"
"train_324a","nuts"
"train_324b","honey"
"train_326b","soda"
"train_331a","honey"
"train_334d","rice"
"train_336d","nuts"
"train_337b","rice"
"train_338a","honey"
"train_339b","rice"
"train_339d","fish"
"train_340a","rice"
"train_341d","soda"
"train_344a","honey"
"train_345a","rice"
"train_345c","nuts"
"train_346a","nuts"
"train_346c","soda"
"train_347a","honey"
"train_347d","nuts"
"train_348d","rice"
"train_351b","soda"
"train_353c","rice"
"train_354a","nuts"
"train_354b","honey"
"train_355d","nuts"
"train_356b","rice"
"train_356d","rice"
"train_357c","rice"
"train_357d","nuts"
"train_360b","fish"
"train_360c","fish"
"train_361a","soda"
"train_361b","rice"
"train_361d","rice"
"train_364a","soda"
"train_365c","fish"
"train_366d","honey"
"train_368a","nuts"
"train_371a","nuts"
"train_373b","honey"
"train_374b","honey"
"train_376c","soda"
"train_378a","soda"
"train_379b","nuts"
"train_380d","soda"
"train_381d","nuts"
"train_384d","rice"
"train_385a","nuts"
"train_388d","nuts"
"train_390b","soda"
"train_392c","nuts"
"train_393d","honey"
"train_394c","soda"
"train_395b","soda"
"train_396c","rice"
